Date;Categorie;Legume;Prix;Unite
2023-01-01;Carotte;Carotte  lavée;2.42;kg
2023-02-01;Carotte;Carotte  lavée;2.4;kg
2023-03-01;Carotte;Carotte  lavée;2.5;kg
2023-04-01;Carotte;Carotte  lavée;2.72;kg
2023-05-01;Carotte;Carotte  lavée;2.99;kg
2023-06-01;Carotte;Carotte  lavée;3.17;kg
2023-07-01;Carotte;Carotte  lavée;2.92;kg
2023-08-01;Carotte;Carotte  lavée;2.8;kg
2023-09-01;Carotte;Carotte  lavée;2.51;kg
2023-10-01;Carotte;Carotte  lavée;2.44;kg
2023-11-01;Carotte;Carotte  lavée;2.45;kg
2023-12-01;Carotte;Carotte  lavée;2.51;kg
2023-01-01;Carotte;Carotte  non lavée;2.79;kg
2023-02-01;Carotte;Carotte  non lavée;2.77;kg
2023-03-01;Carotte;Carotte  non lavée;2.75;kg
2023-04-01;Carotte;Carotte  non lavée;2.85;kg
2023-05-01;Carotte;Carotte  non lavée;3.33;kg
2023-06-01;Carotte;Carotte  non lavée;3.5;kg
2023-07-01;Carotte;Carotte  non lavée;3.27;kg
2023-08-01;Carotte;Carotte  non lavée;3.21;kg
2023-09-01;Carotte;Carotte  non lavée;3.06;kg
2023-10-01;Carotte;Carotte  non lavée;2.87;kg
2023-11-01;Carotte;Carotte  non lavée;2.72;kg
2023-12-01;Carotte;Carotte  non lavée;2.79;kg
2023-05-01;Concombre;Concombre;4.88;kg
2023-06-01;Concombre;Concombre;4.15;kg
2023-07-01;Concombre;Concombre;3.98;kg
2023-08-01;Concombre;Concombre;3.9;kg
2023-09-01;Concombre;Concombre;4.22;kg
2023-10-01;Concombre;Concombre;4.47;kg
2023-11-01;Concombre;Concombre;5.0;kg
2023-05-01;Concombre;Concombre noa;6.59;kg
2023-06-01;Concombre;Concombre noa;5.03;kg
2023-07-01;Concombre;Concombre noa;3.91;kg
2023-08-01;Concombre;Concombre noa;3.9;kg
2023-09-01;Concombre;Concombre noa;4.62;kg
2023-10-01;Concombre;Concombre noa;4.59;kg
2023-05-01;Concombre;Concombre noa u.e.;4.8;kg
2023-03-01;Concombre;Concombre u.e.;5.85;kg
2023-04-01;Concombre;Concombre u.e.;5.05;kg
2023-05-01;Concombre;Concombre u.e.;4.68;kg
2023-12-01;Concombre;Concombre u.e.;4.45;kg
2023-01-01;Butternut;Courge butternut;2.59;kg
2023-02-01;Butternut;Courge butternut;2.72;kg
2023-03-01;Butternut;Courge butternut;2.9;kg
2023-04-01;Butternut;Courge butternut;3.0;kg
2023-08-01;Butternut;Courge butternut;3.22;kg
2023-09-01;Butternut;Courge butternut;3.24;kg
2023-10-01;Butternut;Courge butternut;2.98;kg
2023-11-01;Butternut;Courge butternut;2.61;kg
2023-12-01;Butternut;Courge butternut;2.58;kg
2023-01-01;Potimarron;Courge potimarron;2.62;kg
2023-02-01;Potimarron;Courge potimarron;3.12;kg
2023-03-01;Potimarron;Courge potimarron;3.22;kg
2023-04-01;Potimarron;Courge potimarron;2.84;kg
2023-08-01;Potimarron;Courge potimarron;3.3;kg
2023-09-01;Potimarron;Courge potimarron;3.22;kg
2023-10-01;Potimarron;Courge potimarron;2.84;kg
