Type,Légumes feuille,Rendement,Densité m²,Temps de levée,Du semis à la récolte,Qté / 2 pers,Légumes fruits,Légumes racines
Feuille,Arroche,"2,5-3 kg / m²",6-9 pieds / m²,10-20 jours,60 jours,30-60 pieds,,
Feuille,Chou chinois,"0,8-2 kg / pied",6 pieds / m²,4-8 jours,60-90 jours,12 pieds,,
Feuille,Chou-fleur,2-3 kg / m²,6 pieds / m²,7 jours,120-220 jours,3 pieds,,
Feuille,Bette,2-5 kg / pied,4 pieds / m²,7-10 jours,100 jours,2-5 pieds,,
Feuille,Cresson,–,100 pieds / m²,21 jours,45-60 jours,10 pieds,,
Feuille,Epinard,"été : 2,5-3 kg / m² hiver : 0,5-1 kg / m²",50 pieds / m²,10 jours,60-80 jours,30-60 pieds,,
Feuille,Fenouil,"2 à 3,5 kg / m²",6 pieds / m²,15-20 jours,90 jours,12 pieds,,
Feuille,Laitue à couper,,,,,,,
Feuille,Laitue à couper,3 kg / m²,12 pieds / m²,7 jours,80-100 jours,2 pieds / sem,,
Feuille,Laitue pommées,3 kg / m²,12 pieds / m²,7 jours,80-100 jours,2 pieds / sem,,
Feuille,Mâche,"1-1,5 kg / m²",140 pieds / m²,7 jours,60 jours,150 pieds,,
Feuille,Mesclun,"1,5-2 kg / m²",100 pieds / m²,5-10 jours,30 jours,–,,
Feuille,Poireau,"2,5-5 kg / m²",66 pieds / m²,7-14 jours,120-240 jours,66 pieds,,
,,2-3 kg / pied,1 pied / m²,7-14 jours,120-150 jours,1-3 pieds,Aubergine,
,,"0,8-2 kg / pied",2-3 pieds / m²,8-10 jours,90-120 jours,2 pieds / 3 sem,Concombre,
,,"0,8-2 kg / pied",1 pied / m²,8-10 jours,90-120 jours,3 pieds,Cornichon,
,,10-20 kg / pied,1 pied / m²,7-15 jours,60-120 jours,2 pieds / 3 sem,Courgette,
,,1-5 fruits / pied,1 pied / m²,7 jours,60-120 jours,2 pieds,"Courge pepo (spagh’, …)",
,,3-4 fruits / pied,1 pied / m²,7 jours,60-120 jours,2 pieds,"Courge maxima (red kuri, …)",
,,1-5 fruits / pied,1 pied / m²,7 jours,60-180 jours,2 pieds,"Courge moschata (butternut, …)",
,,4 kg / m²,45 pieds / m²,8-30 jours,120 jours,10 pieds,Fève,
,,"0,5-2 kg / pied",50 pieds / m²,5-8 jours,60-90 jours,10 pieds / 3 sem,Haricots à écosser à rame,
,,"0,5-2 kg / pied",50 pieds / m²,5-8 jours,60-90 jours,10 pieds / 3 sem,Haricots à écosse nains,
,,2-5 kg / m²,50 pieds / m²,5-8 jours,60-90 jours,10 pieds / 3 sem,Haricots mange-tout à rame,
,,"0,5-2 kg / pied",50 pieds / m²,5-8 jours,60-90 jours,10 pieds / 3 sem,Haricots mange-tout nains,
,,"2,5-3,5 kg / pied",1 pied / m²,7 jours,120-150 jours,2-3 pieds,Melon,
,,2-3 kg / pied,1 pied / m²,7 jours,120-150 jours,2-3 pieds,Pastèques,
,,"0,3-1,5 kg / pied",4-5 pieds / m²,5-8 jours,120-210 jours,2 pieds,Physalis,
,,10-15 pces / pied,1-4 pieds / m²,8-20 jours,150-180 jours,1 pied,Piments,
,,"0,5-1 kg / m²",90 pieds / m²,7-14 jours,60-100 jours,5-10 pieds,Pois,
,,"0,7 kg / m²",10-15 pieds / m²,10 jours,150 jours,10 pieds,Pois chiche,
,,"0,5-1 kg / m²",90 pieds / m²,6-15 jours,60-100 jours,10 pieds,Pois mange-tout,
,,1 kg / pied,2-3 pieds / m²,8-15 jours,150-180 jours,2 pieds,Poivron,
,,2-4 kg / pied,2-4 pieds / m²,7 jours,100-140 jours,6 pieds,Tomate,
,,1-2 kg / pied,2 pieds / m²,7 jours,56-63 jours,6 pieds,Tomate cerise,
,,2 kg / m²,80 pieds / m²,–,120-150 jours,50 pieds,,Ail
,,2-4 kg / m²,60 pieds / m² (picking éclaircissements pour laisser ensuite 16/m² pousser au max),10 jours,100 jours,32 pieds,,Betterave
,,3-8 kg / m²,80 pieds / m²,10-20 jours,120-220 jours,300 pieds,,Carotte
,,3 kg / m²,80 pieds / m²,–,90-120 jours,35 pieds,,Echalotte
,,2-3 kg / m²,60-80 pieds / m²,7 jours,90 jours,70 pieds,,Navet
,,4-7 kg / m²,80 pieds / m²,–,150-200 jours,140 pieds,,Oignon
,,–,–,–,–,–,,Oignon rocambole
,,"0,5-1 kg / pied",8 pieds / m²,–,90-150 jours,90 pieds,,Pomme de terre
,,"2,5-3 kg / m²",250-300 pieds / m²,7 jours,18-90 jours,30 pieds / 3 sem,,Radis
,,4 kg / m²,60-80 pieds / m²,7 jours,120-150 jours,10 pieds,,Radis noir
